A,W,MT,ID
8,4,1758,2
8,4,1270,2
8,4,1216,2
8,4,1241,2
8,4,1069,2
8,4,1081,2
8,4,989,2
8,4,1110,2
8,4,1334,2
8,1,1020,3
8,1,3112,3
8,1,1305,3
8,1,1502,3
8,1,1471,3
8,1,1384,3
8,1,1704,3
8,1,1919,3
8,1,1492,3
16,4,1879,2
16,4,1281,2
16,4,1082,2
16,4,1033,2
16,4,1237,2
16,4,1645,2
16,4,1327,2
16,4,1049,2
16,4,1291,2
8,2,970,2
8,2,1901,2
8,2,0,2
8,2,2028,2
8,2,1182,2
8,2,1289,2
8,2,1318,2
8,2,1232,2
8,2,1142,2
16,2,1078,3
16,2,1394,3
16,2,1003,3
16,2,1329,3
16,2,1306,3
16,2,1426,3
16,2,1356,3
16,2,1151,3
16,2,1326,3
32,4,1285,3
32,4,2401,3
32,4,1282,3
32,4,1142,3
32,4,1529,3
32,4,1185,3
32,4,1237,3
32,4,1096,3
32,4,1109,3
16,1,1647,4
16,1,1661,4
16,1,1482,4
16,1,1856,4
16,1,1269,4
16,1,1776,4
16,1,1254,4
16,1,2616,4
16,1,1451,4
32,1,1222,5
32,1,1802,5
32,1,1590,5
32,1,1304,5
32,1,1176,5
32,1,1450,5
32,1,1833,5
32,1,1537,5
32,1,0,5
32,2,1821,4
32,2,1403,4
32,2,1670,4
32,2,3437,4
32,2,1290,4
32,2,1250,4
32,2,2450,4
32,2,1272,4
32,2,2650,4
